IRA Apparatus ID,Apparatus type,Manufacturer,Model,Serial number,Tube details,Location (Storage),Location (Use),Location (Relocating to),SN
I-AT46800, 14 MeV neutron generator incorporating a H3 target in the form of a sealed radioactive substance, Schlumberger Technology Corporation,PNG-GC, PNG-GC 67123-50503,No data, 85 Duke Street ROMA QLD 4455,,,67123-50503
X61962, Linear accelerator apparatus, Schlumberger Technology Corporation,PNG-CB,8294-50388,No data, 85 Duke Street ROMA QLD 4455, Throughout Queensland,,8294-50388
X61963, Linear accelerator apparatus, Schlumberger Technology Corporation,PNG-CB,82596-43320,No data, 85 Duke Street ROMA QLD 4455, Throughout Queensland,,82596-43320
X61964, Linear accelerator apparatus, Schlumberger Technology Corporation,PNG-CB,8735-43534,No data, 85 Duke Street ROMA QLD 4455, Throughout Queensland,,8735-43534
X61965, Linear accelerator apparatus, Schlumberger Technology Corporation,PNG-CB,8864-50705,No data, 85 Duke Street ROMA QLD 4455, Throughout Queensland,,8864-50705
X61966, Linear accelerator apparatus, Schlumberger Technology Corporation,PNG-CB,8600-50811,No data, 85 Duke Street ROMA QLD 4455, Throughout Queensland,,8600-50811
X61967, Linear accelerator apparatus, Schlumberger Technology Corporation,PNG-CB,8747-50788,No data, 85 Duke Street ROMA QLD 4455, Throughout Queensland,,8747-50788
X61968, Linear accelerator apparatus, Schlumberger Technology Corporation,PNG-CB,8865-50710,No data, 85 Duke Street ROMA QLD 4455, Throughout Queensland,,8865-50710
X61969, Linear accelerator apparatus, Schlumberger Technology Corporation,PNG-CB,8829-50563,No data, 85 Duke Street ROMA QLD 4455, Throughout Queensland,,8829-50563
X61970, Linear accelerator apparatus, Schlumberger Technology Corporation,PNG-CB,8896-51565,No data, 85 Duke Street ROMA QLD 4455, Throughout Queensland,,8896-51565
X61971, Linear accelerator apparatus, Schlumberger Technology Corporation,PNG-CB,8420-50383,No data, 85 Duke Street ROMA QLD 4455, Throughout Queensland,,8420-50383
X61972, Linear accelerator apparatus, Schlumberger Technology Corporation,PNG-CB,8364-42831,No data, 85 Duke Street ROMA QLD 4455, Throughout Queensland,,8364-42831
