ApparatusID,ApparatusManufacturer,Model,ApparatusSerialNumber,Purpose,SubstanceID,Radionuclide,Activity,MeasurementDate,UseLocation,StorageLocation,BusinessLine,ATA,Certificate,COC,InRMIS-NG,Status,FeedbackTIM,StatusShort,Evidence
I-AT46800,,PNG-GC,67123-50503,,,,,,,85 Duke Street,RPE,,,,No,,,,
X61962,,PNG-CB,8294-50388,,,,,,,85 Duke Street,WCM,,,,No,,,,
X61963,,PNG-CB,8596-43320,,,,,,,85 Duke Street,WCM,,,,No,,,,
X61964,,PNG-CB,8735-43534,,,,,,,85 Duke Street,WCM,,,,No,,,,
X61965,,PNG-CB,8864-50705,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X61966,,PNG-CB,8600-50811,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X61967,,PNG-CB,8747-50788,,,,,,,85 Duke Street,WCM,,,,No,,,,
X61968,,PNG-CB,8865-50710,,,,,,,85 Duke Street,WCM,,,,No,,,,
X61969,,PNG-CB,8829-50563,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X61970,,PNG-CB,8896-51565,,,,,,,85 Duke Street,WCM,,,,No,,,,
X61971,,PNG-CB,8420-50383,,,,,,,85 Duke Street,WCM,,,,No,,,,
X61972,,PNG-CB,8364-42831,,,,,,,85 Duke Street,WCM,,,,No,,,,
X61973,,PNG-CB,8320-50387,,,,,,,85 Duke Street,WCM,,,,No,,,,
X61974,,PNG-CB,8743-43577,,,,,,,85 Duke Street,WCM,,,,No,,,,
X61975,,PNG-CB,8840-50603,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X61976,,PNG-CB,8319-50804,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X61977,,PNG-CB,8399-51819,,,,,,,85 Duke Street,WCM,,,,Yes,Duplication of X61977,,Delete,
X61978,,PNG-CB,8956-51922,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X61979,,PNG-CB,8292-51574,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X61980,,PNG-CB,8657-51712,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X38903,,PNG-AA,1154-50577,,,,,,,85 Duke Street,RPE,,,,No,,,,
X41703,,PNG-AA,1104-50565,,,,,,,85 Duke Street,RPE,,,,No,,,,
X41705,,PNG-AA,1530-7051,,,,,,,85 Duke Street,RPE,,,,No,,,,
X41707,,PNG-AA,1298-7072,,,,,,,85 Duke Street,RPE,,,,No,,,,
X40286,,PNG-AA,1013-50640,,,,,,,85 Duke Street,RPE,,,,Yes,,,,
X40289,,PNG-AA,7129-50712,,,,,,,85 Duke Street,RPE,,,,No,,,,
X37532,,PNG-BA,1013-6959,,,,,,,85 Duke Street,RPE,,,,No,,,,
X37534,,PNG-BA,5227-50313,,,,,,,85 Duke Street,RPE,,,,No,,,,
X36822,,PNG-BA,5092-7261,,,,,,,85 Duke Street,RPE,,,,Yes,,,,
X52124,,PNG-BA,5074-51345,,,,,,,85 Duke Street,RPE,,,,Yes,,,,
X52125,,PNG-BA,5107-51347,,,,,,,85 Duke Street,RPE,,,,Yes,,,,
X57160,,PNG-CB,8338-52071,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X57164,,PNG-CB,8399-51819,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X57166,,PNG-CB,8596-52069,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X57162,,PNG-CB,8336-52076,,,,,,,85 Duke Street,WCM,,,,Yes,,,,
X38323,,PNG-GB,7087-50060,,,,,,,85 Duke Street,RPE,,,,No,,,,
X44589,,PNG-HB,3068-50729,,,,,,,85 Duke Street,RPE,,,,No,,,,
X44537,,PNG-HB,3081-51280,,,,,,,85 Duke Street,RPE,,,,No,,,,
X49971,,PNG-HB,3107-51505,,,,,,,85 Duke Street,RPE,,,,No,,,,
X50087,,PNG-GB,3091-51401,,,,,,,,RPE,,,,Yes,,,,
,,AM1-N02,78-5887,,S48260,Am241/Be,1.48 GBq,,,3 Moorabbin Place,,,,,No,,,,
,,NSR-FC,G5224,,AT22030,Am241/Be,592 GBq,,,ROMA,RPE,,,,Yes,,,,
,,NSR-F,G5380,,S35491,Am241/Be,592 GBq,,,85 Duke Street,RPE,,,,Yes,,,,
,,NSR-F,G5382,,S35492,Am241/Be,592 GBq,,,85 Duke Street,RPE,,,,Yes,,,,
,,NSR-F,G5251,,S29663,Am241/Be,592 GBq,,,85 Duke Street,RPE,,,,Yes,,,,
,,NSR-F,G5339,,S37508,Am241/Be,592 GBq,,,85 Duke Street,RPE,,,,Yes,,,,
,,NSR-F,U-034,,S36634,Am241/Be,370 GBq,,,73 Beaumont Drive,WCM,,,,No,Jandakot registration,,,
,,NSR-F,G5395,,S43044,Am241/Be,592 GBq,,,85 Duke Street,RPE,,,,Yes,,,,
,,NSR-F,G5216,,S50349,Am241/Be,592 GBq,,,85 Duke Street,RPE,,,,Yes,,,,
,,NSR-M,A-265,,S51725,Am241/Be,444 GBq,,,73 Beaumont Drive,WCM,,,,No,Jandakot registration,,,
,,,G5181,,AT12543,Am241/Be,592 GBq,,,85 Duke Street,RPE,,,,Yes,,,,
,,,G5136,,AT12653,Am241/Be,592 GBq,,,MOOMBA,RPE,,,,Yes,,,,
,,,G6001,,AT12781,Am241/Be,296 GBq,,,85 Duke Street,RPE,,,,Yes,,,,
,,,G5050,,AT10187,Am241/Be,592 GBq,,,ROMA,RPE,,,,Yes,,,,
,,NSR-GB,3515,,AT9976,Am241/Be,19 MBq,,,ROMA,RPE,,,,Yes,,,,
,,,2371,,AT9977,Am241/Be,19 MBq,,,ROMA,RPE,,,,No,,,,
