SRS Substance ID,Radionuclide,Manufacturer,Model,Serial number,Physical form,Chemical form,Initial activity,Initial activity date,Device ID,Device type,Device manufacturer,Device model,Device serial number,Location (Storage),Location (Use),Location (Relocating to)
S48260, Am241/Be - Sealed radioactive substance, Eckert & Ziegler Isotope Products, AM1.N02,78-5887, Solid, Americium Oxide, 1.48 GBQ, 23-JUN-2009, D48258, Portable Soil density/moisture gauge, Troxler,3440,62988," ROBINA, QLD 4226 - 3 Moorabbin Place",,
AT22030, Am241/Be - Sealed radioactive substance, Gammatron, AN-HP (DNS),G5224, Solid, Americium Oxide, 592 GBq, 12-DEC-2007, Unknown, Unknown, Unknown,Unknown,Unknown, ROMA - Store Southern Road, Throughout Queensland,
S35491, Am241/Be - Sealed radioactive substance, Gammatron, NSR-F (AN-HP),G5380,,, 592 GBq, 28-APR-2014, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, - Throughout Queensland,
S35492, Am241/Be - Sealed radioactive substance, Gammatron, NSR-F (AN-HP),G5382,,, 592 GBq, 01-MAY-2014, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S29663, Am241/Be - Sealed radioactive substance, Gammatron, NSR-F (AN-HP),G5251, Solid, Americium Oxide, 592 GBq, 02-MAR-2009, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S37508, Am241/Be - Sealed radioactive substance, Gammatron, NSR-F (AN-HP),G5339,,, 592 GBQ, 30-JUL-2012, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S36634, Am241/Be - Sealed radioactive substance, Gammatron, NSR-F (AN-HP),U-034,, Americium Oxide, 370 GBQ, 28-OCT-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S43044, Am241/Be - Sealed radioactive substance, Gammatron, NSR-F (AN-HP),G5395,,, 592 GBQ, 05-MAR-2015, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S50349, Am241/Be - Sealed radioactive substance, Gammatron, NSR-F (AN-HP),G5216, Solid, Americium Oxide, 592 GBQ, 20-JUN-2007, D50348, Borehole logging tool, Unknown,UNKNOWNBOREHOLELOGGINGAPPARATUS,5318, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S51725, Am241/Be - Sealed radioactive substance, Gammatron, NSR-M (AN-HP),A-265, Solid, Americium Oxide, 444 GBQ, 05-NOV-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, ROMA - Field sites throughout Roma,
AT12543, Am241/Be - Sealed radioactive substance, Gammatron, UNKNOWN MODEL - AM241/BE-H,G5181,,, 592 GBQ, 05-APR-2006, D50347, Borehole logging tool, Unknown,UNKNOWNBOREHOLELOGGINGAPPARATUS,5268, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
AT12653, Am241/Be - Sealed radioactive substance, Gammatron, UNKNOWN MODEL - AM241/BE-H,G5136,,, 592 GBq, 20-MAY-2004, Unknown, Unknown, Unknown,Unknown,Unknown,, ROMA - Field sites throughout Roma,
AT12781, Am241/Be - Sealed radioactive substance, Gammatron, UNKNOWN MODEL - AM241/BE-H,G6001,,, 296 GBQ, 11-NOV-2008, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455,,
AT10187, Am241/Be - Sealed radioactive substance, Gammatron, UNKNOWN MODEL - AM241/BE-H,G5050,,, 592 GBq, 08-FEB-2001, Unknown, Unknown, Unknown,Unknown,Unknown, ROMA - Southern Rd, Throughout Queensland,
AT9976, Am241/Be - Sealed radioactive substance, Monsanto Research Centre, UNKNOWN MODEL - AM241/BE-H,3515,,, 19 MBq, 01-AUG-1985, CRXU2818, Calibration/reference unit, Schlumberger Well Services,CNB-AB,2616, ROMA - Store Southern Road, Throughout Queensland,
AT9977, Am241/Be - Sealed radioactive substance, Monsanto Research Centre, UNKNOWN MODEL - AM241/BE-H,2371,,, 19 MBq, 01-AUG-1985, CRXU2819, Calibration/reference unit, Schlumberger Well Services,CNB-AB,1412, ROMA - Store Southern Road, Throughout Queensland,
S37693, Am241/Be - Sealed radioactive substance, QSA Global, AMN.CY21,U4Q349,, Americium Oxide, 3.7 TBQ, 09-NOV-2012, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S29891, Am241/Be - Sealed radioactive substance, QSA Global, AMN.CY23,NSR-M-Q1221, Solid, Americium Oxide, 555 GBQ, 04-APR-2009, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S28746, Am241/Be - Sealed radioactive substance, QSA Global, AMN.CY23,NSR-M-Q1220, Solid, Americium Oxide, 555 GBq, 20-APR-2009, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," NEWBURN, WA 6105 - Schlumberger, Western Australia, 9 Searle Road"
S41138, Am241/Be - Sealed radioactive substance, QSA Global, AMN.CY23,NSR-M-Q1223,,, 555 GBq, 20-APR-2009, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S51726, Am241/Be - Sealed radioactive substance, QSA Global, AMN.CY23,NSR-M-Q1337, Solid, Americium Oxide, 555 GBQ, 04-AUG-2010, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S37416, Am241/Be - Sealed radioactive substance, QSA Global, NSR-U,NSR-UQ1148,,, 370 GBQ, 19-MAY-2008, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S51723, Am241/Be - Sealed radioactive substance, QSA Global, NSR-U,NSR-UQ1187, Solid, Americium Oxide, 370 GBQ, 27-MAY-2009, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
I-AT22025," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Amersham, CDC.CY3,4762, Solid, Caesium Silicate, 60.68 GBq, 28-OCT-2008, Unknown, Unknown, Unknown,Unknown,Unknown, ROMA - Store Southern Road, Throughout Queensland,
I-AT22027," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Amersham, CDC.CY3,A5334, Solid, Caesium Silicate, 59.66 GBQ, 08-NOV-2006, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, - Throughout Queensland,
I-AT22028," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Amersham, CDC.CY3,A5420, Solid, Caesium Silicate, 58.83 GBq, 25-OCT-2007, Unknown, Unknown, Unknown,Unknown,Unknown, ROMA - Store Southern Road, ROMA,
I-AT29664," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Amersham, CDC.CY3,3808, Solid, Caesium Ceramic, 64.38 GBq, 21-NOV-1998, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, - Throughout Queensland,
I-AT30115," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", CIS bio international, CSG10,A-974, Solid, Caesium Ceramic, 333 KBQ, 30-JAN-1995, D41913, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,754, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43096," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", CIS bio international, CSG10,A-2045,,, 358.8 kBq, 18-SEP-1997, D43099, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,HRGD-BC1761, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43097," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", CIS bio international, CSG10,A-2046,,, 362.9 kBq, 18-SEP-1997, D43099, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,HRGD-BC1761, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43098," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", CIS bio international, CSG10,A-1833,, Caesium Ceramic, 22.9 kBq, 26-SEP-1997, D43099, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,HRGD-BC1761, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43087," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", CIS bio international, CSG10,A-1483,,, 351.5 kBq, 10-JUN-1996, D43090, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,HRGD-BC893, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
