Basin,Geounit,Country,Facility Name with Facility ID,Business Line,Model ID,Serial No,Calibration Frequency in Month,Date of Last Calibration Test,Calibration Compliance Indicator,Leak Test Frequency in Month,Date of Last Leak Test,Leak Test Compliance Indicator,Last Leak Test Result Recorded,Leak Test Result Compliance Indicator,Confirmation Inventory Frequency,Date of last confirmation inv test,Date of next confirmation inv test,Photo Inventory Frequency,Date of Last Photo Inv test,Date of Next Photo Inv test,Confirmation & Photo Compliance Indicator,Located,Physical Location,PAU / Countrol site
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,GSS,XRD-BTX,8610/0085,,(No Record),Non Compliance,12 Month,3-Mar-23,Compliance,3-Mar-23,Compliance,3Month,14-Mar-23,14-Jun-23,12Month,9-Dec-22,9-Dec-23,Compliance,,Shop,Jandakot Base
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,GSS,XRF-SCOUT,12109147,,(No Record),Non Compliance,12 Month,6-Feb-23,Compliance,6-Feb-23,Compliance,3Month,9-Dec-22,9-Mar-23,12Month,9-Dec-22,9-Dec-23,Non Compliance,,Tech Center,Jandakot Base
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPE,,SM|134968,12 Month,26-Jul-22,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,OBS BAY,Shop,AUJAD-WLES
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPE,,SM|149029,12 Month,14-Mar-22,Non Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,OPCheck Bay,Shop,AUJAD-WLES
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPE,,SM|149035,12 Month,15-Mar-23,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,OBS BAY,Shop,AUJAD-WLES
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPI,,SM|SM-147399,12 Month,20-Oct-22,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,STT_PRM-RCV,Shop,AUJAD-TSW
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPI,VXBS-D|BA133,17.16,,(No Record),Non Compliance,36 Month,31-Jan-23,Compliance,16-Feb-23,Compliance,3Month,31-Jan-23,30-Apr-23,12Month,20-Oct-22,20-Oct-23,Compliance,RA PIT AREA JK,,AUJAD-TSW
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPI,VXBS-D|BA133,75.16,,(No Record),Non Compliance,36 Month,31-Jan-23,Compliance,16-Feb-23,Compliance,3Month,31-Jan-23,30-Apr-23,12Month,20-Oct-22,20-Oct-23,Compliance,RA PIT AREA JK,,AUJAD-TSW
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPI,VXBS-D|BA133,76.16,,(No Record),Non Compliance,36 Month,31-Jan-23,Compliance,16-Feb-23,Compliance,3Month,31-Jan-23,30-Apr-23,12Month,27-Oct-22,27-Oct-23,Compliance,RA PIT AREA JK,Shop,AUJAD-TSW
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPI,VXBS-I|GBA3,061.4|1597.21,,(No Record),Non Compliance,36 Month,31-Jan-23,Compliance,16-Feb-23,Compliance,3Month,31-Jan-23,30-Apr-23,,(No Record),(Not Applicable),Compliance,RA PIT AREA JK,Shop,AUJAD-TSW
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPS,DG01/CDC800,DG01-1549,,(No Record),Non Compliance,36 Month,27-Apr-21,Compliance,27-Apr-21,Compliance,3Month,6-Jan-23,6-Apr-23,12Month,6-Jan-23,6-Jan-24,Critical,Jandakot RA PIT,Shop,AUJN-SCS
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPS,DG01/CDC800,DG01-1560,,(No Record),Non Compliance,36 Month,26-Feb-21,Compliance,26-Feb-21,Compliance,3Month,6-Jan-23,6-Apr-23,12Month,6-Jan-23,6-Jan-24,Critical,Jandakot RA PIT,Shop,AUJN-SCS
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPS,DG01/CDC800,DG01-1902,,(No Record),Non Compliance,36 Month,27-Apr-21,Compliance,27-Apr-21,Compliance,3Month,6-Jan-23,6-Apr-23,12Month,6-Jan-23,6-Jan-24,Critical,Jandakot RA PIT,Shop,AUJN-SCS
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPS,DG01/CDC800,DG01-1923,,(No Record),Non Compliance,36 Month,26-Feb-21,Compliance,26-Feb-21,Compliance,3Month,6-Jan-23,6-Apr-23,12Month,6-Jan-23,6-Jan-24,Critical,Jandakot RA PIT,Shop,AUJN-SCS
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,103029,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,31-May-22,(Not Applicable),,28-Oct-18,(Not Applicable),Not Applicable,AWATLM - Maintenance,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,103457,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,29-Oct-21,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,104127,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,16-Jun-22,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,AWATLM - IST,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,98688,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,31-May-22,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,Receiving,Shop,ASIA-APG-AWATLM
