Basin,Geounit,Country,FacilityNamewithFacilityID,BusinessLine,ModelID,SerialNo,CalibrationFrequencyinMonth,DateofLastCalibrationTest,CalibrationComplianceIndicator,LeakTestFrequencyinMonth,DateofLastLeakTest,LeakTestComplianceIndicator,LastLeakTestResultRecorded,LeakTestResultComplianceIndicator,ConfirmationInventoryFrequency,Dateoflastconfirmationinvtest,Dateofnextconfirmationinvtest,PhotoInventoryFrequency,DateofLastPhotoInvtest,DateofNextPhotoInvtest,ConfirmationPhotoComplianceIndicator,Located,PhysicalLocation,PAUControlSite
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,GSS,XRD-BTX,8610/0085,,(No Record),Non Compliance,12 Month,2023-03-03,Compliance,2023-03-03,Compliance,3Month,2023-03-14,2023-06-14,12Month,2022-12-09,2023-12-09,Compliance,,Shop,Jandakot Base
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,GSS,XRF-SCOUT,12109147,,(No Record),Non Compliance,12 Month,2023-02-06,Compliance,2023-02-06,Compliance,3Month,2022-12-09,2023-03-09,12Month,2022-12-09,2023-12-09,Non Compliance,,Tech Center,Jandakot Base
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPE,,SM|134968,12 Month,2022-07-26,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,OBS BAY,Shop,AUJAD-WLES
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPE,,SM|149029,12 Month,2022-03-14,Non Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,OPCheck Bay,Shop,AUJAD-WLES
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPE,,SM|149035,12 Month,2023-03-15,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,OBS BAY,Shop,AUJAD-WLES
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPI,,SM|SM-147399,12 Month,2022-10-20,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,STT_PRM-RCV,Shop,AUJAD-TSW
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPI,VXBS-D|BA133,17.16,,(No Record),Non Compliance,36 Month,2023-01-31,Compliance,2023-02-16,Compliance,3Month,2023-01-31,2023-04-30,12Month,2022-10-20,2023-10-20,Compliance,RA PIT AREA JK,,AUJAD-TSW
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPI,VXBS-D|BA133,75.16,,(No Record),Non Compliance,36 Month,2023-01-31,Compliance,2023-02-16,Compliance,3Month,2023-01-31,2023-04-30,12Month,2022-10-20,2023-10-20,Compliance,RA PIT AREA JK,,AUJAD-TSW
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPI,VXBS-D|BA133,76.16,,(No Record),Non Compliance,36 Month,2023-01-31,Compliance,2023-02-16,Compliance,3Month,2023-01-31,2023-04-30,12Month,2022-10-27,2023-10-27,Compliance,RA PIT AREA JK,Shop,AUJAD-TSW
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPI,VXBS-I|GBA3,061.4|1597.21,,(No Record),Non Compliance,36 Month,2023-01-31,Compliance,2023-02-16,Compliance,3Month,2023-01-31,2023-04-30,,(No Record),(Not Applicable),Compliance,RA PIT AREA JK,Shop,AUJAD-TSW
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,RPS,DG01/CDC800,DG01-1549,,(No Record),Non Compliance,36 Month,2021-04-27,Compliance,2021-04-27,Compliance,3Month,2023-01-06,2023-04-06,12Month,2023-01-06,2024-01-06,Critical,Jandakot RA PIT,Shop,AUJN-SCS
